,stockName,nTrading,finalCapital,onHold
0,000001.SZ,0,10000.0,0
1,000002.SZ,0,10000.0,0
2,000004.SZ,0,10000.0,0
3,000005.SZ,0,10000.0,0
4,000006.SZ,0,10000.0,0
5,000007.SZ,0,10000.0,0
6,000008.SZ,0,10000.0,0
7,000009.SZ,0,10000.0,0
8,000010.SZ,0,10000.0,0
9,000011.SZ,0,10000.0,0
10,000012.SZ,0,10000.0,0
11,000014.SZ,0,10000.0,0
12,000016.SZ,0,10000.0,0
13,000017.SZ,0,10000.0,0
14,000018.SZ,0,10000.0,0
15,000019.SZ,0,10000.0,0
16,000020.SZ,0,10000.0,0
17,000021.SZ,1,11060.885608856088,0
18,000023.SZ,0,10000.0,0
19,000025.SZ,0,10000.0,0
20,000026.SZ,0,10000.0,0
21,000027.SZ,0,10000.0,0
22,000028.SZ,0,10000.0,0
23,000030.SZ,0,10000.0,0
24,000031.SZ,0,10000.0,0
25,000032.SZ,0,10000.0,0
26,000034.SZ,0,10000.0,0
27,000035.SZ,0,10000.0,0
28,000036.SZ,0,10000.0,0
29,000037.SZ,0,10000.0,0
30,000038.SZ,0,10000.0,0
31,000039.SZ,0,10000.0,0
32,000040.SZ,0,10000.0,0
33,000042.SZ,0,10000.0,0
34,000043.SZ,0,10000.0,0
35,000045.SZ,0,10000.0,0
36,000046.SZ,0,10000.0,0
37,000048.SZ,0,10000.0,0
38,000049.SZ,0,10000.0,0
39,000050.SZ,1,11063.67583212735,0
40,000055.SZ,0,10000.0,0
41,000056.SZ,0,10000.0,0
42,000058.SZ,0,7945.945945945946,1
43,000059.SZ,0,10000.0,0
44,000060.SZ,0,10000.0,0
45,000061.SZ,0,10000.0,0
46,000062.SZ,0,10000.0,0
47,000063.SZ,2,13310.12501455242,0
48,000065.SZ,0,10000.0,0
49,000066.SZ,1,11041.420118343198,0
50,000068.SZ,1,11148.648648648648,0
51,000069.SZ,0,10000.0,0
52,000070.SZ,3,13905.206150666772,0
53,000078.SZ,0,10000.0,0
54,000088.SZ,0,10000.0,0
55,000089.SZ,0,10000.0,0
56,000090.SZ,0,10000.0,0
57,000096.SZ,0,10000.0,0
58,000099.SZ,0,10000.0,0
59,000100.SZ,0,10000.0,0
60,000150.SZ,0,10000.0,0
61,000151.SZ,0,10000.0,0
62,000153.SZ,0,10000.0,0
63,000155.SZ,0,10000.0,0
64,000156.SZ,0,10000.0,0
65,000157.SZ,0,10000.0,0
66,000158.SZ,0,10000.0,0
67,000159.SZ,0,5263.644773358003,1
68,000166.SZ,0,10000.0,0
69,000301.SZ,0,10000.0,0
70,000333.SZ,0,10000.0,0
71,000338.SZ,1,11207.04845814978,0
72,000400.SZ,0,10000.0,0
73,000401.SZ,1,11267.511674449634,0
74,000402.SZ,0,10000.0,0
75,000403.SZ,0,10000.0,0
76,000404.SZ,0,10000.0,0
77,000407.SZ,0,10000.0,0
78,000408.SZ,0,10000.0,0
79,000409.SZ,0,10000.0,0
80,000410.SZ,0,10000.0,0
81,000411.SZ,0,10000.0,0
82,000413.SZ,0,5773.195876288659,1
83,000415.SZ,0,10000.0,0
84,000416.SZ,0,10000.0,0
85,000417.SZ,0,10000.0,0
86,000419.SZ,0,10000.0,0
87,000420.SZ,0,10000.0,0
88,000421.SZ,0,10000.0,0
89,000422.SZ,0,10000.0,0
90,000423.SZ,0,10000.0,0
91,000425.SZ,1,11264.916467780427,0
92,000426.SZ,0,10000.0,0
93,000428.SZ,0,10000.0,0
94,000429.SZ,0,10000.0,0
95,000430.SZ,0,10000.0,0
96,000488.SZ,0,10000.0,0
97,000498.SZ,0,10000.0,0
98,000501.SZ,0,10000.0,0
99,000502.SZ,0,10000.0,0
100,000503.SZ,0,9936.157864190365,1
101,000504.SZ,0,10000.0,0
102,000505.SZ,0,10000.0,0
103,000506.SZ,0,10000.0,0
104,000507.SZ,0,10000.0,0
105,000509.SZ,0,10000.0,0
106,000510.SZ,0,10000.0,0
107,000513.SZ,0,10000.0,0
108,000514.SZ,0,10000.0,0
109,000516.SZ,0,10000.0,0
110,000517.SZ,0,10000.0,0
111,000518.SZ,0,10000.0,0
112,000519.SZ,0,10000.0,0
113,000520.SZ,0,10000.0,0
114,000521.SZ,0,10000.0,0
115,000523.SZ,0,10000.0,0
116,000524.SZ,0,10000.0,0
117,000525.SZ,0,10000.0,0
118,000526.SZ,0,10000.0,0
119,000528.SZ,0,10000.0,0
120,000529.SZ,0,10000.0,0
121,000530.SZ,0,10000.0,0
122,000531.SZ,0,10000.0,0
123,000532.SZ,0,10000.0,0
124,000533.SZ,0,10000.0,0
125,000534.SZ,0,10000.0,0
