,stockName,nTrading,finalCapital,onHold
0,000001.SZ,0,10000,0
1,000002.SZ,0,10000,0
2,000004.SZ,0,10000,0
3,000005.SZ,0,10000,0
4,000006.SZ,0,10000,0
5,000007.SZ,0,10000,0
6,000008.SZ,0,10000,0
7,000009.SZ,0,10000,0
8,000010.SZ,0,10000,0
9,000011.SZ,0,10000,0
10,000012.SZ,0,10000,0
11,000014.SZ,0,10000,0
12,000016.SZ,0,10000,0
13,000017.SZ,0,10000,0
14,000018.SZ,0,10000,0
15,000019.SZ,0,10000,0
16,000020.SZ,0,10000,0
17,000021.SZ,0,10000,0
18,000023.SZ,0,10000,0
19,000025.SZ,0,10000,0
20,000026.SZ,0,10000,0
21,000027.SZ,0,10000,0
22,000028.SZ,0,10000,0
23,000030.SZ,0,10000,0
24,000031.SZ,0,10000,0
25,000032.SZ,0,10000,0
26,000034.SZ,0,10000,0
27,000035.SZ,0,10000,0
28,000036.SZ,0,10000,0
29,000037.SZ,0,10000,0
30,000038.SZ,0,10000,0
31,000039.SZ,0,10000,0
32,000040.SZ,0,10000,0
33,000042.SZ,0,10000,0
34,000043.SZ,0,10000,0
35,000045.SZ,0,10000,0
36,000046.SZ,0,10000,0
37,000048.SZ,0,10000,0
38,000049.SZ,0,10000,0
39,000050.SZ,0,10000,0
40,000055.SZ,0,10000,0
41,000056.SZ,0,10000,0
42,000058.SZ,0,10000,0
43,000059.SZ,0,10000,0
44,000060.SZ,0,10000,0
45,000061.SZ,0,10000,0
46,000062.SZ,0,10000,0
47,000063.SZ,0,10000,0
48,000065.SZ,0,10000,0
49,000066.SZ,0,10000,0
50,000068.SZ,0,10000,0
51,000069.SZ,0,10000,0
52,000070.SZ,0,10000,0
53,000078.SZ,0,10000,0
54,000088.SZ,0,10000,0
55,000089.SZ,0,10000,0
56,000090.SZ,0,10000,0
57,000096.SZ,0,10000,0
58,000099.SZ,0,10000,0
59,000100.SZ,0,10000,0
60,000150.SZ,0,10000,0
61,000151.SZ,0,10000,0
62,000153.SZ,0,10000,0
63,000155.SZ,0,10000,0
64,000156.SZ,0,10000,0
65,000157.SZ,0,10000,0
66,000158.SZ,0,10000,0
67,000159.SZ,0,10000,0
68,000166.SZ,0,10000,0
69,000301.SZ,0,10000,0
70,000333.SZ,0,10000,0
71,000338.SZ,0,10000,0
72,000400.SZ,0,10000,0
73,000401.SZ,0,10000,0
74,000402.SZ,0,10000,0
75,000403.SZ,0,10000,0
76,000404.SZ,0,10000,0
77,000407.SZ,0,10000,0
78,000408.SZ,0,10000,0
79,000409.SZ,0,10000,0
80,000410.SZ,0,10000,0
81,000411.SZ,0,10000,0
82,000413.SZ,0,10000,0
83,000415.SZ,0,10000,0
84,000416.SZ,0,10000,0
85,000417.SZ,0,10000,0
86,000418.SZ,0,10000,0
87,000419.SZ,0,10000,0
88,000420.SZ,0,10000,0
89,000421.SZ,0,10000,0
90,000422.SZ,0,10000,0
91,000423.SZ,0,10000,0
92,000425.SZ,0,10000,0
93,000426.SZ,0,10000,0
94,000428.SZ,0,10000,0
95,000429.SZ,0,10000,0
96,000430.SZ,0,10000,0
97,000488.SZ,0,10000,0
98,000498.SZ,0,10000,0
99,000501.SZ,0,10000,0
100,000502.SZ,0,10000,0
101,000503.SZ,0,10000,0
102,000504.SZ,0,10000,0
103,000505.SZ,0,10000,0
104,000506.SZ,0,10000,0
105,000507.SZ,0,10000,0
106,000509.SZ,0,10000,0
107,000510.SZ,0,10000,0
108,000513.SZ,0,10000,0
109,000514.SZ,0,10000,0
110,000516.SZ,0,10000,0
111,000517.SZ,0,10000,0
112,000518.SZ,0,10000,0
113,000519.SZ,0,10000,0
114,000520.SZ,0,10000,0
115,000521.SZ,0,10000,0
116,000523.SZ,0,10000,0
117,000524.SZ,0,10000,0
118,000525.SZ,0,10000,0
119,000526.SZ,0,10000,0
120,000528.SZ,0,10000,0
121,000529.SZ,0,10000,0
122,000530.SZ,0,10000,0
123,000531.SZ,0,10000,0
124,000532.SZ,0,10000,0
125,000533.SZ,0,10000,0
126,000534.SZ,0,10000,0
127,000536.SZ,0,10000,0
128,000537.SZ,0,10000,0
129,000538.SZ,0,10000,0
130,000539.SZ,0,10000,0
131,000540.SZ,0,10000,0
132,000541.SZ,0,10000,0
133,000543.SZ,0,10000,0
134,000544.SZ,0,10000,0
135,000545.SZ,0,10000,0
136,000546.SZ,0,10000,0
137,000547.SZ,0,10000,0
138,000548.SZ,0,10000,0
139,000550.SZ,0,10000,0
140,000551.SZ,0,10000,0
141,000552.SZ,0,10000,0
142,000553.SZ,0,10000,0
143,000554.SZ,0,10000,0
144,000555.SZ,0,10000,0
145,000557.SZ,0,10000,0
146,000558.SZ,0,10000,0
147,000559.SZ,0,10000,0
148,000560.SZ,0,10000,0
149,000561.SZ,0,10000,0
150,000563.SZ,0,10000,0
151,000564.SZ,0,10000,0
152,000565.SZ,0,10000,0
153,000566.SZ,0,10000,0
154,000567.SZ,0,10000,0
155,000568.SZ,0,10000,0
156,000570.SZ,0,10000,0
157,000571.SZ,0,10000,0
158,000572.SZ,0,10000,0
159,000573.SZ,0,10000,0
160,000576.SZ,0,10000,0
161,000581.SZ,0,10000,0
162,000582.SZ,0,10000,0
163,000584.SZ,0,10000,0
164,000585.SZ,0,10000,0
165,000586.SZ,0,10000,0
166,000587.SZ,0,10000,0
167,000589.SZ,0,10000,0
168,000590.SZ,0,10000,0
169,000591.SZ,0,10000,0
170,000592.SZ,0,10000,0
171,000593.SZ,0,10000,0
172,000595.SZ,0,10000,0
173,000596.SZ,0,10000,0
174,000597.SZ,0,10000,0
175,000598.SZ,0,10000,0
176,000599.SZ,0,10000,0
177,000600.SZ,0,10000,0
178,000601.SZ,0,10000,0
179,000603.SZ,0,10000,0
180,000605.SZ,0,10000,0
181,000606.SZ,0,10000,0
182,000607.SZ,0,10000,0
183,000608.SZ,0,10000,0
184,000609.SZ,0,10000,0
185,000610.SZ,0,10000,0
186,000611.SZ,0,10000,0
